"id","collection_id","element_id","element_type"
"2848","58","7986","Film"
"2851","41","2963","Film"
"2853","10","3947","Film"
"2855","43","6437","Film"
"2856","26","7988","Film"
"2857","43","1133","Film"
"2858","27","7991","Film"
"2859","10","7999","Film"
"2860","27","8003","Film"
"2861","8","8006","Film"
"2862","38","8011","Film"
"2863","43","6493","Film"
"2864","12","6852","Film"
"2866","27","8015","Film"
"2867","43","8016","Film"
"2868","27","8019","Film"
"2869","47","8019","Film"
"2870","12","8023","Film"
"2875","54","8030","Film"
"2876","38","8030","Film"
"2877","46","8030","Film"
"2878","53","8030","Film"
"2879","26","8032","Film"
"2880","43","8045","Film"
"2882","43","925","Film"
"2883","43","8048","Film"
"2885","43","4813","Film"
"2886","10","8049","Film"
"2887","50","8050","Film"
"2891","55","8063","Film"
"2892","24","8063","Film"
"2893","12","8063","Film"
"2894","43","4881","Film"
"2895","50","8078","Film"
