"id","element_id","element_type","relation_id","to_id","to_type"
"32750","18509","Book","2","19751","Book"
"32751","19752","Book","1","18509","Book"
"32752","18509","Book","2","19752","Book"
"32753","19753","Book","1","18509","Book"
"32754","18509","Book","2","19753","Book"
"32755","19754","Book","1","18509","Book"
"32756","18509","Book","2","19754","Book"
"32757","19755","Book","1","18509","Book"
"32758","18509","Book","2","19755","Book"
"32759","19756","Book","1","18509","Book"
"32760","18509","Book","2","19756","Book"
"32761","19757","Book","1","18509","Book"
"32762","18509","Book","2","19757","Book"
"32763","19758","Book","1","18509","Book"
"32764","18509","Book","2","19758","Book"
"32765","19759","Book","1","18509","Book"
"32766","18509","Book","2","19759","Book"
"32767","19760","Book","1","18509","Book"
"32768","18509","Book","2","19760","Book"
"32769","19761","Book","1","18509","Book"
"32770","18509","Book","2","19761","Book"
"32771","19762","Book","1","18509","Book"
"32772","18509","Book","2","19762","Book"
"32773","19763","Book","1","18509","Book"
"32774","18509","Book","2","19763","Book"
"32775","19764","Book","1","18509","Book"
"32776","18509","Book","2","19764","Book"
"32777","19765","Book","1","18509","Book"
"32778","18509","Book","2","19765","Book"
"32779","19766","Book","1","18509","Book"
"32780","18509","Book","2","19766","Book"
"32781","19767","Book","1","18509","Book"
"32782","18509","Book","2","19767","Book"
"32783","18520","Book","1","18510","Book"
"32784","18510","Book","2","18520","Book"
"32785","18525","Book","1","18510","Book"
"32786","18510","Book","2","18525","Book"
"32787","18969","Book","1","18510","Book"
"32788","18510","Book","2","18969","Book"
"32789","19382","Book","1","18510","Book"
"32790","18510","Book","2","19382","Book"
"32791","19747","Book","1","18510","Book"
"32792","18510","Book","2","19747","Book"
"32793","19748","Book","1","18510","Book"
"32794","18510","Book","2","19748","Book"
"32795","19749","Book","1","18510","Book"
"32796","18510","Book","2","19749","Book"
"32797","19750","Book","1","18510","Book"
"32798","18510","Book","2","19750","Book"
"32799","19751","Book","1","18510","Book"
"32800","18510","Book","2","19751","Book"
"32801","19752","Book","1","18510","Book"
"32802","18510","Book","2","19752","Book"
"32803","19753","Book","1","18510","Book"
"32804","18510","Book","2","19753","Book"
"32805","19754","Book","1","18510","Book"
"32806","18510","Book","2","19754","Book"
"32807","19755","Book","1","18510","Book"
"32808","18510","Book","2","19755","Book"
"32809","19756","Book","1","18510","Book"
"32810","18510","Book","2","19756","Book"
"32811","19757","Book","1","18510","Book"
"32812","18510","Book","2","19757","Book"
"32813","19758","Book","1","18510","Book"
"32814","18510","Book","2","19758","Book"
"32815","19759","Book","1","18510","Book"
"32816","18510","Book","2","19759","Book"
"32817","19760","Book","1","18510","Book"
"32818","18510","Book","2","19760","Book"
"32819","19761","Book","1","18510","Book"
"32820","18510","Book","2","19761","Book"
"32821","19762","Book","1","18510","Book"
"32822","18510","Book","2","19762","Book"
"32823","19763","Book","1","18510","Book"
"32824","18510","Book","2","19763","Book"
"32825","19764","Book","1","18510","Book"
"32826","18510","Book","2","19764","Book"
"32827","19765","Book","1","18510","Book"
"32828","18510","Book","2","19765","Book"
"32829","19766","Book","1","18510","Book"
"32830","18510","Book","2","19766","Book"
"32831","19767","Book","1","18510","Book"
"32832","18510","Book","2","19767","Book"
"32833","18525","Book","1","18520","Book"
"32834","18520","Book","2","18525","Book"
"32835","18969","Book","1","18520","Book"
"32836","18520","Book","2","18969","Book"
"32837","19382","Book","1","18520","Book"
"32838","18520","Book","2","19382","Book"
"32839","19747","Book","1","18520","Book"
"32840","18520","Book","2","19747","Book"
"32841","19748","Book","1","18520","Book"
"32842","18520","Book","2","19748","Book"
"32843","19749","Book","1","18520","Book"
"32844","18520","Book","2","19749","Book"
"32845","19750","Book","1","18520","Book"
"32846","18520","Book","2","19750","Book"
"32847","19751","Book","1","18520","Book"
"32848","18520","Book","2","19751","Book"
"32849","19752","Book","1","18520","Book"
"32850","18520","Book","2","19752","Book"
"32851","19753","Book","1","18520","Book"
"32852","18520","Book","2","19753","Book"
"32853","19754","Book","1","18520","Book"
"32854","18520","Book","2","19754","Book"
"32855","19755","Book","1","18520","Book"
"32856","18520","Book","2","19755","Book"
"32857","19756","Book","1","18520","Book"
"32858","18520","Book","2","19756","Book"
"32859","19757","Book","1","18520","Book"
"32860","18520","Book","2","19757","Book"
"32861","19758","Book","1","18520","Book"
"32862","18520","Book","2","19758","Book"
"32863","19759","Book","1","18520","Book"
"32864","18520","Book","2","19759","Book"
"32865","19760","Book","1","18520","Book"
"32866","18520","Book","2","19760","Book"
"32867","19761","Book","1","18520","Book"
"32868","18520","Book","2","19761","Book"
"32869","19762","Book","1","18520","Book"
"32870","18520","Book","2","19762","Book"
"32871","19763","Book","1","18520","Book"
"32872","18520","Book","2","19763","Book"
"32873","19764","Book","1","18520","Book"
"32874","18520","Book","2","19764","Book"
"32875","19765","Book","1","18520","Book"
"32876","18520","Book","2","19765","Book"
"32877","19766","Book","1","18520","Book"
"32878","18520","Book","2","19766","Book"
"32879","19767","Book","1","18520","Book"
"32880","18520","Book","2","19767","Book"
"32881","18969","Book","1","18525","Book"
"32882","18525","Book","2","18969","Book"
"32883","19382","Book","1","18525","Book"
"32884","18525","Book","2","19382","Book"
"32885","19747","Book","1","18525","Book"
"32886","18525","Book","2","19747","Book"
"32887","19748","Book","1","18525","Book"
"32888","18525","Book","2","19748","Book"
"32889","19749","Book","1","18525","Book"
"32890","18525","Book","2","19749","Book"
"32891","19750","Book","1","18525","Book"
"32892","18525","Book","2","19750","Book"
"32893","19751","Book","1","18525","Book"
"32894","18525","Book","2","19751","Book"
"32895","19752","Book","1","18525","Book"
"32896","18525","Book","2","19752","Book"
"32897","19753","Book","1","18525","Book"
"32898","18525","Book","2","19753","Book"
"32899","19754","Book","1","18525","Book"
"32900","18525","Book","2","19754","Book"
"32901","19755","Book","1","18525","Book"
"32902","18525","Book","2","19755","Book"
"32903","19756","Book","1","18525","Book"
"32904","18525","Book","2","19756","Book"
"32905","19757","Book","1","18525","Book"
"32906","18525","Book","2","19757","Book"
"32907","19758","Book","1","18525","Book"
"32908","18525","Book","2","19758","Book"
"32909","19759","Book","1","18525","Book"
"32910","18525","Book","2","19759","Book"
"32911","19760","Book","1","18525","Book"
"32912","18525","Book","2","19760","Book"
"32913","19761","Book","1","18525","Book"
"32914","18525","Book","2","19761","Book"
"32915","19762","Book","1","18525","Book"
"32916","18525","Book","2","19762","Book"
"32917","19763","Book","1","18525","Book"
"32918","18525","Book","2","19763","Book"
"32919","19764","Book","1","18525","Book"
"32920","18525","Book","2","19764","Book"
"32921","19765","Book","1","18525","Book"
"32922","18525","Book","2","19765","Book"
"32923","19766","Book","1","18525","Book"
"32924","18525","Book","2","19766","Book"
"32925","19767","Book","1","18525","Book"
"32926","18525","Book","2","19767","Book"
"32927","19382","Book","1","18969","Book"
"32928","18969","Book","2","19382","Book"
"32929","19747","Book","1","18969","Book"
"32930","18969","Book","2","19747","Book"
"32931","19748","Book","1","18969","Book"
"32932","18969","Book","2","19748","Book"
"32933","19749","Book","1","18969","Book"
