"id","person_id","genre_id","weight","element_type"
"466","657","7","50","Book"
"467","657","14","4","Book"
"468","657","5","1","Book"
"469","7235","6","8","Book"
"470","7235","4","7","Book"
"471","667","6","3","Book"
"472","8162","2","8","Book"
"473","8162","6","3","Book"
"474","9256","15","4","Book"
"475","9256","7","4","Book"
"476","1675","6","2","Book"
"477","1675","2","1","Book"
"478","1925","2","1","Book"
"479","9081","6","1","Book"
"480","1540","7","1","Book"
"481","9155","7","1","Book"
"482","7187","7","18","Book"
"483","7187","6","3","Book"
"484","7187","3","2","Book"
"485","6089","6","4","Book"
"486","6089","7","2","Book"
"487","124","3","2","Book"
"488","124","6","1","Book"
"489","7091","7","1","Book"
"490","2904","6","2","Book"
"491","2904","5","2","Book"
"492","2904","2","1","Book"
"493","7793","3","1","Book"
"494","7793","14","1","Book"
"495","8573","10","1","Book"
"496","5455","7","1","Book"
"497","5455","10","1","Book"
"498","775","7","2","Book"
"499","5428","6","1","Book"
"500","9184","7","3","Book"
"501","9184","67","3","Book"
"502","9184","14","2","Book"
"503","222","10","6","Book"
"504","222","2","1","Book"
"505","4377","7","3","Book"
"506","5195","7","4","Book"
"507","8437","1","1","Book"
"508","2187","6","1","Book"
"509","6973","7","3","Book"
"510","6973","5","1","Book"
"511","12581","5","2","Book"
"512","12581","7","2","Book"
"513","12581","67","1","Book"
"514","6019","4","2","Book"
"515","6019","7","2","Book"
"516","4451","6","1","Book"
"517","7944","3","1","Book"
"518","3105","7","6","Book"
"519","3105","5","1","Book"
"520","13270","15","1","Book"
"521","13270","7","1","Book"
"522","11222","67","1","Book"
"523","11222","7","1","Book"
"524","5682","6","2","Book"
"525","810","7","4","Book"
"526","6324","7","39","Book"
"527","6324","10","1","Book"
"528","7348","1","3","Book"
"529","612","6","1","Book"
"530","402","4","1","Book"
"531","1602","6","33","Book"
"532","1602","3","3","Book"
"533","6087","7","1","Book"
"534","751","7","69","Book"
"535","751","8","1","Book"
"536","2010","15","4","Book"
"537","2010","7","4","Book"
"538","4871","6","1","Book"
"539","892","2","2","Book"
"540","892","6","1","Book"
"541","6126","7","15","Book"
"542","6381","5","2","Book"
"543","6381","3","1","Book"
"544","6381","7","1","Book"
"545","7640","4","1","Book"
"546","7640","6","1","Book"
"547","7040","7","1","Book"
"548","8769","13","1","Book"
"549","8769","2","1","Book"
"550","8769","4","1","Book"
"551","3598","1","1","Book"
"552","5757","7","21","Book"
"553","5757","5","1","Book"
"554","5757","6","1","Book"
"555","6241","6","1","Book"
"556","6241","5","1","Book"
"557","8602","10","7","Book"
"558","8602","2","1","Book"
"559","3834","7","1","Book"
"560","3834","10","1","Book"
"561","317","7","1","Book"
"562","3571","7","4","Book"
"563","3571","4","2","Book"
"564","7336","2","20","Book"
"565","4845","2","2","Book"
"566","4845","10","2","Book"
"567","4845","14","2","Book"
"568","136","15","3","Book"
"569","136","7","1","Book"
"570","136","14","1","Book"
"571","125","12","1","Book"
"572","7826","1","1","Book"
"573","4649","12","8","Book"
"574","4649","8","3","Book"
"575","4649","14","2","Book"
"576","2058","6","1","Book"
"577","2058","7","1","Book"
"578","1007","8","1","Book"
"579","7981","2","7","Book"
"580","9194","7","1","Book"
"581","11343","3","1","Book"
"582","11343","14","1","Book"
"583","907","14","9","Book"
"584","907","6","5","Book"
"585","907","3","4","Book"
"586","830","4","1","Book"
"587","4785","4","1","Book"
"588","6397","6","1","Book"
"589","9176","7","2","Book"
"590","9176","67","2","Book"
"591","9176","3","1","Book"
"592","5969","6","2","Book"
"593","5969","2","1","Book"
"594","3715","2","3","Book"
"595","3715","5","1","Book"
"596","3715","14","1","Book"
"597","5958","7","1","Book"
"598","8049","6","3","Book"
"599","7422","7","3","Book"
"600","253","12","1","Book"
"601","2409","7","6","Book"
"602","4915","6","1","Book"
"603","4807","4","1","Book"
"604","4807","7","1","Book"
"605","4229","7","1","Book"
"606","5830","6","1","Book"
"607","333","8","7","Book"
"608","333","12","2","Book"
"609","333","6","1","Book"
"610","1579","7","3","Book"
"611","1579","3","1","Book"
"612","1579","14","1","Book"
"613","3061","3","28","Book"
"614","3061","6","1","Book"
"615","5678","7","2","Book"
"616","6870","7","2","Book"
"617","6526","7","10","Book"
"618","6526","10","8","Book"
"619","4484","6","4","Book"
"620","4484","7","3","Book"
"621","4484","5","2","Book"
"622","753","4","1","Book"
"623","805","7","2","Book"
"624","2189","7","5","Book"
"625","1871","10","1","Book"
"626","5164","6","1","Book"
"627","5761","7","1","Book"
"628","11205","90","1","Book"
"629","5681","3","4","Book"
"630","5681","6","2","Book"
"631","502","6","1","Book"
"632","2168","2","7","Book"
"633","1981","7","1","Book"
"634","1981","6","1","Book"
"635","261","8","1","Book"
"636","8956","7","10","Book"
"637","5628","6","2","Book"
"638","5628","2","1","Book"
"639","6026","5","1","Book"
"640","4354","7","1","Book"
"641","1017","2","5","Book"
"642","1017","9","2","Book"
"643","1017","8","1","Book"
"644","6805","7","6","Book"
"645","5416","12","1","Book"
"646","4372","1","1","Book"
"647","9206","15","6","Book"
"648","9206","7","6","Book"
"649","414","7","8","Book"
"650","414","3","1","Book"
"651","4246","6","1","Book"
"652","4246","8","1","Book"
"653","573","7","3","Book"
"654","573","2","2","Book"
"655","5953","7","1","Book"
"656","6140","6","2","Book"
"657","5792","10","4","Book"
"658","9565","7","12","Book"
"659","9944","14","1","Book"
"660","9944","87","1","Book"
"661","9944","88","1","Book"
"662","1375","2","5","Book"
"663","1375","13","1","Book"
"664","6576","2","2","Book"
"665","1139","2","1","Book"
"666","1562","7","5","Book"
"667","5438","6","41","Book"
"668","5438","2","1","Book"
"669","6931","6","5","Book"
"670","8669","6","1","Book"
"671","5625","5","1","Book"
"672","7156","6","1","Book"
"673","1437","6","1","Book"
"674","1437","7","1","Book"
"675","5199","7","2","Book"
"676","7204","7","14","Book"
"677","6260","3","7","Book"
"678","6260","6","2","Book"
"679","6260","5","1","Book"
"680","3265","5","1","Book"
"681","3265","7","1","Book"
"682","8332","7","1","Book"
"683","3795","3","1","Book"
"684","4583","3","1","Book"
"685","4583","6","1","Book"
"686","11226","67","1","Book"
"687","11226","7","1","Book"
"688","8297","6","1","Book"
"689","8447","6","1","Book"
"690","8447","7","1","Book"
"691","8447","14","1","Book"
"692","3135","3","1","Book"
"693","1202","6","5","Book"
"694","1202","2","2","Book"
"695","1202","5","1","Book"
"696","9080","7","1","Book"
"697","2856","2","7","Book"
"698","2856","6","1","Book"
"699","2856","14","1","Book"
"700","3286","7","1","Book"
"701","1586","7","39","Book"
"702","5131","7","1","Book"
"703","2957","3","1","Book"
"704","9188","15","1","Book"
"705","9188","7","1","Book"
"706","9188","5","1","Book"
"707","6991","4","2","Book"
"708","6991","6","1","Book"
"709","3940","6","1","Book"
"710","6900","10","3","Book"
"711","6900","1","2","Book"
"712","6900","9","1","Book"
"713","5977","8","1","Book"
"714","341","6","2","Book"
"715","682","8","2","Book"
"716","682","12","2","Book"
"717","5039","7","2","Book"
"718","4521","7","4","Book"
"719","771","7","1","Book"
"720","1009","12","1","Book"
"721","5507","8","1","Book"
"722","2165","3","34","Book"
"723","2165","8","1","Book"
"724","7621","9","1","Book"
"725","7621","13","1","Book"
"726","610","12","2","Book"
"727","913","6","1","Book"
"728","3476","7","1","Book"
"729","1376","7","1","Book"
"730","7629","6","1","Book"
"731","9321","6","1","Book"
"732","9321","14","1","Book"
"733","9321","7","1","Book"
"734","4264","6","1","Book"
"735","8453","5","12","Book"
"736","8453","7","11","Book"
"737","8453","3","3","Book"
"738","42","12","1","Book"
"739","6478","15","1","Book"
"740","6478","7","1","Book"
"741","3670","12","1","Book"
"742","7708","6","3","Book"
"743","9190","15","1","Book"
"744","9190","3","1","Book"
"745","561","7","4","Book"
"746","2797","7","6","Book"
"747","5754","7","1","Book"
"748","358","12","1","Book"
"749","358","6","1","Book"
"750","358","7","1","Book"
"751","398","10","2","Book"
"752","1315","7","1","Book"
"753","5158","7","1","Book"
"754","6350","6","5","Book"
"755","6350","2","1","Book"
"756","3781","7","10","Book"
"757","3781","10","7","Book"
"758","3781","2","6","Book"
"759","4522","6","1","Book"
"760","3798","2","15","Book"
"761","3798","10","2","Book"
"762","3798","9","1","Book"
"763","6082","12","1","Book"
"764","13232","15","1","Book"
"765","13232","7","1","Book"
"766","5197","6","1","Book"
"767","9085","2","2","Book"
"768","3991","10","6","Book"
"769","3991","7","5","Book"
"770","3994","7","2","Book"
"771","6479","3","1","Book"
"772","5093","7","68","Book"
"773","5093","6","13","Book"
"774","5093","3","1","Book"
"775","530","12","1","Book"
"776","8564","7","39","Book"
"777","8564","14","17","Book"
"778","8564","3","3","Book"
"779","344","6","2","Book"
"780","344","3","1","Book"
"781","5092","7","1","Book"
"782","721","6","3","Book"
"783","721","7","1","Book"
"784","3037","6","2","Book"
"785","9006","7","4","Book"
"786","9006","5","2","Book"
"787","9006","67","2","Book"
"788","1501","4","2","Book"
"789","1501","5","2","Book"
"790","1501","7","1","Book"
"791","1508","4","2","Book"
"792","1508","14","1","Book"
"793","1508","2","1","Book"
"794","7201","6","1","Book"
"795","260","10","1","Book"
"796","260","12","1","Book"
"797","3841","6","3","Book"
"798","3075","6","45","Book"
"799","3075","10","6","Book"
"800","3075","8","1","Book"
"801","4235","2","1","Book"
"802","1250","7","14","Book"
"803","1250","2","1","Book"
"804","609","2","1","Book"
"805","609","9","1","Book"
"806","609","10","1","Book"
"807","3930","4","1","Book"
"808","7783","3","5","Book"
"809","7783","5","3","Book"
"810","7783","7","1","Book"
"811","5943","7","9","Book"
"812","5943","5","1","Book"
"813","7536","6","1","Book"
"814","1665","7","3","Book"
"815","1665","2","2","Book"
"816","1665","6","1","Book"
"817","5675","7","2","Book"
"818","737","7","2","Book"
"819","737","5","1","Book"
"820","6786","7","2","Book"
"821","6786","6","1","Book"
"822","4798","2","6","Book"
"823","4798","14","4","Book"
"824","4798","4","1","Book"
"825","4701","2","1","Book"
"826","4701","3","1","Book"
"827","3079","2","1","Book"
"828","2691","6","1","Book"
"829","3501","7","14","Book"
"830","3501","6","1","Book"
"831","628","7","4","Book"
"832","4578","10","1","Book"
"833","4578","14","1","Book"
"834","9983","5","1","Book"
"835","9983","7","1","Book"
"836","9983","14","1","Book"
"837","6138","6","1","Book"
